uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:parameters,skos:Collection,parameters,,,Collectie van parameters.,,,,,,,,,,,,,cs,parameter,,,,,,
ct:10_2_FTS,skos:Concept,10_2_FTS,colt:parameters,,10:2 fluortelomeersulfonzuur (10:2 FTS),,,,,,,,,,,,,cs:parameter,,,,,,,cs:parameter
ct:10_2_FTS,skos:Concept,10_2_FTS,colt:parameters,,10:2 fluortelomeersulfonzuur (10:2 FTS),,,,,,,,,,,,,cs:parameter,,,,,,,cs:parameter
ct:10_2_FTS,skos:Concept,10_2_FTS,colt:parameters,,10:2 fluortelomeersulfonzuur (10:2 FTS),,,,,,,,,,,,,cs:parameter,,,,,,,cs:parameter
ct:1112TCA,skos:Concept,1112TCA,colt:parameters,,"1,1,1,2-Tetrachloorethaan",,,,,,,,,,,,,cs:parameter,,,,,,,cs:parameter
ct:111TCA,skos:Concept,111TCA,colt:parameters,,"1,1,1-trichloorethaan",,,,,,,,,,,,,cs:parameter,,,,,,,cs:parameter
ct:1122TCA,skos:Concept,1122TCA,colt:parameters,,"1,1,2,2-Tetrachloorethaan",,,,,,,,,,,,,cs:parameter,,,,,,,cs:parameter
ct:112TCA,skos:Concept,112TCA,colt:parameters,,"1,1,2-trichloorethaan",,,,,,,,,,,,,cs:parameter,,,,,,,cs:parameter
ct:11Cl_PF3ONS,skos:Concept,11Cl_PF3ONS,colt:parameters,,11-chlooreicosafluor-3-oxanonaansulfonzuur (11Cl-PF3ONS),,,,,,,,,,,,,cs:parameter,,,,,,,cs:parameter
ct:11Cl_PF3ONS,skos:Concept,11Cl_PF3ONS,colt:parameters,,11-chlooreicosafluor-3-oxanonaansulfonzuur (11Cl-PF3ONS),,,,,,,,,,,,,cs:parameter,,,,,,,cs:parameter
ct:11Cl_PF3ONS,skos:Concept,11Cl_PF3ONS,colt:parameters,,11-chlooreicosafluor-3-oxanonaansulfonzuur (11Cl-PF3ONS),,,,,,,,,,,,,cs:parameter,,,,,,,cs:parameter
