uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
conceptscheme:parameter,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.parameter,,,Lijst van parameters,,,,,,,,,,,,,,,,,,,,
collectie:parameter,be.vlaanderen.bodemenondergrond.data.id.collection.parameter.parameter,,,Collectie van parameter.,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,
10_2_fts,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.10_2_fts,collectie:parameter,10_2_FTS,10:2 fluortelomeersulfonzuur (10:2 FTS),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
1112tca,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.1112tca,collectie:parameter,1112TCA,"1,1,1,2-Tetrachloorethaan",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
111tca,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.111tca,collectie:parameter,111TCA,"1,1,1-trichloorethaan",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
1122tca,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.1122tca,collectie:parameter,1122TCA,"1,1,2,2-Tetrachloorethaan",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
112tca,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.112tca,collectie:parameter,112TCA,"1,1,2-trichloorethaan",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
11cl_pf3ons,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.11cl_pf3ons,collectie:parameter,11Cl_PF3ONS,11-chlooreicosafluor-3-oxanonaansulfonzuur (11Cl-PF3ONS),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
11cl_pf3ounds,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.11cl_pf3ounds,collectie:parameter,11Cl_PF3OUnDS,11-chlooreicosafluoro-3-oxaundecaansulfonzuur (11Cl-PF3OUnDS),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
11dca,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.11dca,collectie:parameter,11DCA,"1,1-Dichloorethaan",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
11dce,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.11dce,collectie:parameter,11DCE,"1,1-Dichlooretheen",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
11dcpe,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.11dcpe,collectie:parameter,11DCPE,"1,1-Dichloorpropeen",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
123tcb,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.123tcb,collectie:parameter,123TCB,"1,2,3-Trichloorbenzeen",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
123tcpa,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.123tcpa,collectie:parameter,123TCPA,"1,2,3-Trichloropropaan",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
123tmb,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.123tmb,collectie:parameter,123TMB,"1,2,3-Trimethylbenzeen",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
124tcb,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.124tcb,collectie:parameter,124TCB,"1,2,4-Trichloorbenzeen",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
124tmb,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.124tmb,collectie:parameter,124TMB,"1,2,4-Trimethylbenzeen",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
12dca,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.12dca,collectie:parameter,12DCA,"1,2-dichloorethaan",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
12dce_c,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.12dce_c,collectie:parameter,12DCE_c,"1,2-Dichlooretheen (cis)",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
12dce_t,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.12dce_t,collectie:parameter,12DCE_t,"1,2-Dichlooretheen (trans)",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
12dcpa,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.12dcpa,collectie:parameter,12DCPA,"1,2-dichloorpropaan",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
135tcb,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.135tcb,collectie:parameter,135TCB,"1,3,5-Trichloorbenzeen",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
135tmb,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.135tmb,collectie:parameter,135TMB,"1,3,5-Trimethylbenzeen",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
13dcpa,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.13dcpa,collectie:parameter,13DCPA,"1,3-Dichloorpropaan",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
13dcpe_cis,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.13dcpe_cis,collectie:parameter,13DCPE_cis,"1,3-Dichloorpropeen (cis)",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
13dcpe_trans,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.13dcpe_trans,collectie:parameter,13DCPE_trans,"1,3-Dichloorpropeen (trans)",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
1h_benzotriazole,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.1h_benzotriazole,collectie:parameter,1H_benzotriazole,1H-benzotriazole,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
22dcpa,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.22dcpa,collectie:parameter,22DCPA,"2,2-Dichloorpropaan",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
245t,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.245t,collectie:parameter,245t,"2,4,5-T",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
